kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
11001,A,ILMU KEDOKTERAN,A,,A,001
11002,A,ILMU KEDOKTERAN DASAR,A,,A,
11006,A,BIOMEDIK,A,,A,
11101,B,ILMU KEDOKTERAN DASAR,A,,A,002
11102,B,ILMU KEDOKTERAN KELUARGA,A,,A,003
11103,B,ILMU KEDOKTERAN KLINIS,A,,A,004
11104,B,ILMU KEDOKTERAN TROPIS,A,,A,005
11105,B,IMUNOLOGI,A,,A,006
11106,B,BIOMEDIK,A,,A,007
11107,B,PULMONOLOGI,A,,A,
11108,B,ERGONOMI FISIOLOGI KERJA,A,,A,
11109,B,PENDIDIKAN DOKTER,A,,A,
11122,B,ILMU KESEHATAN OLAH RAGA,A,,A,
11123,B,TEKNOLOGI BIOMEDIS,A,,A,
11124,B,ILMU FORENSIK,A,,,
11201,C,PENDIDIKAN DOKTER,A,,A,034
11202,C,FISIOTERAPI,A,,A,
11301,D,FISIOTERAPI,A,,A,
11306,D,PENGOBATAN TRADISIONAL CINA,A,,A,
11401,E,FISIOTERAPI,A,,A,035
11402,E,RADIODIAGNOSTIK DAN RADIOTERAPI,A,,A,036
11403,E,OKUPASI TERAPI,A,,A,037
11404,E,REFRAKSI OPTISI,A,,A,038
11406,E,PENGOBATAN TRADISIONAL,A,,A,040
11407,E,AKUPUNKTUR,A,,A,041
11408,E,TEKNIK KARDIOVASCULER,A,,A,
11409,E,MALARIOLOGI,A,,A,
11608,G,TEKNIK TRANSFUSI DARAH,A,,A,
11701,H,ILMU PENYAKIT MATA,A,,A,008
11702,H,ILMU PENYAKIT DALAM,A,,A,009
11703,H,ILMU PENYAKIT SYARAF,A,,A,010
11704,H,ILMU PENYAKIT KULIT DAN KELAMIN,A,,A,011
11705,H,ILMU PENYAKIT THT,A,,A,012
11706,H,ILMU ANESTESI,A,,A,013
11707,H,ILMU BEDAH,A,,A,014
11708,H,ILMU KEBIDANAN DAN PENYAKIT KANDUNGAN,A,,A,015
11709,H,ILMU PENYAKIT PARU,A,,A,016
11710,H,ILMU KEDOKTERAN FORENSIK,A,,A,017
11711,H,ILMU KESEHATAN ANAK,A,,A,018
11712,H,ILMU BEDAH ORTOPAEDI,A,,A,019
11713,H,ILMU BEDAH UROLOGI,A,,A,020
11714,H,ILMU BEDAH PLASTIK,A,,A,021
11715,H,ILMU PENYAKIT JANTUNG,A,,A,022
11717,H,ILMU BEDAH ANAK,A,,A,023
11718,H,ILMU PATOLOGI ANATOMI,A,,A,024
11719,H,ILMU PATOLOGI KLINIK,A,,A,025
11720,H,ILMU KEDOKTERAN NUKLIR,A,,A,026
